Layer,ID,MRD,SDRD,n,ITS
10cm,10cm_1,0.2769677840451007,0.09361498583375723,110,0.29236093954478276
10cm,10cm_10,0.10710226042668947,0.10356963585969271,928,0.14898846821353579
10cm,10cm_11,0.11735172902919869,0.08324696241085817,929,0.14388010653588393
10cm,10cm_12,-0.11601231154175991,0.09497802238312998,433,0.14993225525240625
10cm,10cm_13,0.2981004393275044,0.10968737642267706,466,0.3176400360057611
10cm,10cm_14,0.22376660941943083,0.15550200346170476,936,0.2724928780200909
10cm,10cm_15,0.41278275408126125,0.14468592978319192,558,0.43740555591365976
10cm,10cm_16,0.245519641460422,0.20201557364726858,2256,0.3179468294210357
10cm,10cm_17,-0.2608601149795858,0.13957740237790864,1204,0.295854441984107
10cm,10cm_18,0.018456033763036842,0.20138547459201844,2167,0.2022294107169253
10cm,10cm_19,0.29600037684242675,0.20884934186444584,1742,0.3622627094914281
10cm,10cm_2,-0.23359704555976088,0.05895928253127479,73,0.24092276084017403
10cm,10cm_20,0.04197157300491486,0.1195904749676084,1085,0.12674184251258566
10cm,10cm_21,-0.3404981862636478,0.15347127920535006,1721,0.3734868784706637
10cm,10cm_22,-0.5139381311780339,0.07922408216432153,458,0.5200085171163537
10cm,10cm_23,-0.2495113042574393,0.1681080522139376,2220,0.300859116816181
10cm,10cm_24,-0.35679518276080224,0.1230570550801491,1322,0.37741997992463666
10cm,10cm_25,-0.16334099547644584,0.1720005998009569,939,0.2372013641089048
10cm,10cm_26,0.3895890758829226,0.2414239107039263,237,0.458328651413903
10cm,10cm_27,0.17219222199409318,0.05346209568371409,115,0.18030074040379776
10cm,10cm_28,-0.006953767794982922,0.12627438118140455,496,0.1264657037670419
10cm,10cm_29,-0.19468822210110676,0.10990474924659509,2289,0.22356779225068807
10cm,10cm_3,-0.09898359267442865,0.07461178905410581,105,0.12395430885851282
10cm,10cm_30,-0.0011072016911381458,0.16728076682915205,2311,0.16728443097471443
10cm,10cm_4,0.011995260167740742,0.08593167122419423,476,0.08676484533424121
10cm,10cm_5,0.02206261285491733,0.16030961317871398,2217,0.1618206753276443
10cm,10cm_6,0.27987247941062393,0.17827158772361257,390,0.33182731008907
10cm,10cm_7,0.35770884374157724,0.19628876332424725,833,0.40802560642476654
10cm,10cm_8,0.1870279887105808,0.0948683275963524,1051,0.2097128230272388
10cm,10cm_9,0.1289199450620733,0.19539955171417256,781,0.2340968539833622
20cm,20cm_1,0.08260523730317067,0.15790776836850334,789,0.17820911464073336
20cm,20cm_10,-0.03283256670336015,0.10860326172951325,570,0.11345768327715734
20cm,20cm_11,0.2653415139892521,0.07108291414550644,545,0.2746978334998766
